Processing graph to get co-occurrence rankings...
Rank 1     : Captain America                (co-occurrences: 11160)
Rank 2     : Spider-man / Peter Parker      (co-occurrences: 8295)
Rank 3     : Thor / Dr. Donald Blak         (co-occurrences: 8244)
Rank 4     : Thing / Benjamin J. Gr         (co-occurrences: 7907)
Rank 5     : Iron Man / Tony Stark          (co-occurrences: 7804)
Rank 6     : Human Torch / Johnny S         (co-occurrences: 7532)
Rank 7     : Vision                         (co-occurrences: 7356)
Rank 8     : Scarlet Witch / Wanda          (co-occurrences: 7303)
Rank 9     : Wolverine / Logan              (co-occurrences: 7193)
Rank 10    : Mr. Fantastic / Reed R         (co-occurrences: 7151)
Rank 11    : Invisible Woman / Sue          (co-occurrences: 6876)
Rank 12    : Beast / Henry &hank& P         (co-occurrences: 6754)
Rank 13    : Cyclops / Scott Summer         (co-occurrences: 6753)
Rank 14    : Storm / Ororo Munroe S         (co-occurrences: 6525)
Rank 15    : Wasp / Janet Van Dyne          (co-occurrences: 6498)
Rank 16    : Hawk                           (co-occurrences: 6008)
Rank 17    : Professor X / Charles          (co-occurrences: 5846)
Rank 18    : Colossus Ii / Peter Ra         (co-occurrences: 5778)
Rank 19    : Ant-man / Dr. Henry J.         (co-occurrences: 5413)
Rank 20    : Marvel Girl / Jean Grey        (co-occurrences: 4972)
Rank 21    : Hulk / Dr. Robert Bruce Banner (co-occurrences: 4919)
Rank 22    : Wonder Man / Simon Wil         (co-occurrences: 4889)
Rank 23    : Angel / Warren Kenneth         (co-occurrences: 4837)
Rank 24    : Iceman / Robert Bobby          (co-occurrences: 4702)
Rank 25    : Rogue  /                       (co-occurrences: 4493)
Rank 26    : She-hulk / Jennifer Wa         (co-occurrences: 4303)
Rank 27    : Nightcrawler / Kurt Wa         (co-occurrences: 4267)
Rank 28    : Quicksilver / Pietro M         (co-occurrences: 3945)
Rank 29    : Hercules [greek God]           (co-occurrences: 3931)
Rank 30    : Jarvis, Edwin                  (co-occurrences: 3398)
Rank 31    : Black Widow / Natasha          (co-occurrences: 3248)
Rank 32    : Sub-mariner / Namor Ma         (co-occurrences: 3242)
Rank 33    : Jameson, J. Jonah              (co-occurrences: 3220)
Rank 34    : Dr. Strange / Stephen          (co-occurrences: 3182)
Rank 35    : Cannonball Ii / Sam Gu         (co-occurrences: 3145)
Rank 36    : Shadowcat / Katherine          (co-occurrences: 3094)
Rank 37    : Psylocke / Elisabeth B         (co-occurrences: 2948)
